scheme,sec,dist,reqDepth,ptm,ringDim,log2q,towers,standardMaxLogQ,keygen_ms,evalmultkeys_ms,enc1_ms,enc2_ms,add_ms,mult_ms,dec_ms
BFVrns,HEStd_128_classic,HEStd_ternary,1,65537,8192,120.00,2,218,13.000,28.000,21.000,9.000,0.000,72.000,17.000
BFVrns,HEStd_128_classic,HEStd_ternary,2,65537,8192,180.00,3,218,6.000,78.000,24.000,29.000,0.000,113.000,6.000
BFVrns,HEStd_128_classic,HEStd_ternary,3,65537,8192,180.00,3,218,16.000,76.000,22.000,14.000,0.000,78.000,18.000
BFVrns,HEStd_192_classic,HEStd_ternary,1,65537,8192,120.00,2,152,5.000,59.000,15.000,18.000,0.000,47.000,16.000
BFVrns,HEStd_192_classic,HEStd_ternary,2,65537,16384,180.00,3,305,35.000,223.000,62.000,64.000,0.000,150.000,17.000
BFVrns,HEStd_192_classic,HEStd_ternary,3,65537,16384,180.00,3,305,35.000,171.000,50.000,42.000,0.000,133.000,14.000
BFVrns,HEStd_256_classic,HEStd_ternary,1,65537,16384,120.00,2,237,9.000,78.000,36.000,38.000,0.000,97.000,14.000
BFVrns,HEStd_256_classic,HEStd_ternary,2,65537,16384,180.00,3,237,39.000,585.000,168.000,108.000,0.000,150.000,2.000
BFVrns,HEStd_256_classic,HEStd_ternary,3,65537,16384,180.00,3,237,24.000,161.000,38.000,61.000,0.000,124.000,15.000
BFVrns,HEStd_128_quantum,HEStd_ternary,1,65537,8192,120.00,2,202,15.000,37.000,16.000,6.000,7.000,61.000,14.000
BFVrns,HEStd_128_quantum,HEStd_ternary,2,65537,8192,180.00,3,202,7.000,77.000,26.000,29.000,0.000,128.000,1.000
BFVrns,HEStd_128_quantum,HEStd_ternary,3,65537,8192,180.00,3,202,6.000,111.000,28.000,19.000,0.000,81.000,15.000
BFVrns,HEStd_192_quantum,HEStd_ternary,1,65537,8192,120.00,2,141,15.000,26.000,21.000,17.000,0.000,64.000,1.000
BFVrns,HEStd_192_quantum,HEStd_ternary,2,65537,16384,180.00,3,284,25.000,146.000,33.000,38.000,0.000,126.000,2.000
BFVrns,HEStd_192_quantum,HEStd_ternary,3,65537,16384,180.00,3,284,45.000,139.000,40.000,32.000,8.000,126.000,2.000
BFVrns,HEStd_256_quantum,HEStd_ternary,1,65537,16384,120.00,2,220,30.000,73.000,33.000,27.000,0.000,77.000,15.000
BFVrns,HEStd_256_quantum,HEStd_ternary,2,65537,16384,180.00,3,220,19.000,128.000,39.000,35.000,0.000,117.000,14.000
BFVrns,HEStd_256_quantum,HEStd_ternary,3,65537,16384,180.00,3,220,18.000,112.000,41.000,29.000,2.000,150.000,10.000
